x,y,w,h
0.4169555374052333,0.734553911987198,0.13808844365772358,0.2247820064448834
0.3678197721773316,0.7209992181312248,0.13554693855972866,0.2281706799088768
0.5221234384437501,0.630225881054285,0.12812546361792534,0.21190878135715166
0.45491008048024817,0.6460957016845567,0.13582699421790992,0.2203104511025893
0.555891149428955,0.6758169052779821,0.12961675999774064,0.21913421733822797
0.5179226035710311,0.7339471247278054,0.13232629849064426,0.21657637566017257
0.47017311385112637,0.758685374533816,0.13477678549973032,0.21256224455957462
0.4293550016712084,0.7381479596005239,0.12707525489974564,0.2125622445595745
0.36885661460273445,0.7216416488380226,0.1253885560493358,0.2070714563522026
0.3879513185696383,0.6268736996912062,0.12666153631379606,0.21131472390040343
0.43192700043281124,0.6114822110390956,0.1296125360177722,0.21756389974411738
0.39831783335327053,0.6553142004330226,0.12961675999774058,0.22478200644488325
0.5018194032256089,0.726478973842972,0.13232629849064417,0.21750989452077663
0.45862081795114984,0.6483828228930365,0.1355469385597287,0.221804081279556
0.47704147886802195,0.7675538037095564,0.13932768994517575,0.21284230021775585
0.4115014534621533,0.7862241809216401,0.14002782909062886,0.20444063047231809
0.5130216295528592,0.7292795304247843,0.13302643763609737,0.21097526249654736
0.4563103587711544,0.6939925174939456,0.13785739773972408,0.20640102007958688
0.5207231601528438,0.6778353429450987,0.13862755079972253,0.19043784756325535
0.5032896954310604,0.6714013610673242,0.13477678549973027,0.193051700372947
0.48641634202563966,0.6666331166178482,0.1302258810542849,0.19510544186627612
0.4662396048339445,0.6642144541153737,0.13557239816501798,0.1934930001979599
0.405200201153075,0.6685001543390569,0.1309260201997379,0.19323840414506777
0.3815864172473372,0.6978793505680977,0.12793451657825627,0.19603896072688015
0.46560311470171434,0.7827447015321151,0.14893869094185072,0.1934930001979599
0.5271644402910126,0.7535510208004931,0.1432484691597133,0.18689047589295937
0.5438277519527975,0.69370516357537,0.1274253244724722,0.18296969667842178
0.39539825311673094,0.6871705315511407,0.1316261593451911,0.19883951730869298
0.3815864172473372,0.7326741444633449,0.13175345737163696,0.19773626774616063
0.42677721663567636,0.7691662453778723,0.14448326001623976,0.19179569317867945
